RULE_TYPE_ID,RULE_TYPE_DESC,DATA_OBJECT_ID,DATA_OBJECT_FORMAT,EXECUTE_CONTEXT_ID,EXECUTE_CONTEXT_FORMAT,OBJECT_TYPE_ID,PROCEDURE_CONSTRAINT
1,STOCK_TODAY,1,STOCK,1,THRESHOLD,1,::r_dt_SD_stock
2,STOCK_TIME_WINDOW,2,STOCK_SUPPLY_DEMAND,1,THRESHOLD,1,::r_dt_SD_stockSupplyDemand
3,TOR_SUPPLY/FORECAST_SUPPLY,3,SUPPLY,1,THRESHOLD,1,::r_dt_SD_supply_
4,TOR_DEMAND/FORECAST_DEMAND,4,DEMAND,1,THRESHOLD,1,::r_dt_SD_demand
5,TOR_SUPPLY_DEMAND/FORECAST_SUPPLY_DEMAND,5,SUPPLY_DEMAND,1,THRESHOLD,1,::r_dt_SD_supplyDemand
6,KPI_RATE,6,RATE,2,THRESHOLD,2,::r_dt_KPI_rate
7,KPI_QUANTITY,7,QUANTITY,2,THRESHOLD,2,::r_dt_KPI_quantity
8,PR_PICKUP,8,PICKUP,3,THRESHOLD,4,::r_dt_pickup_base
9,PR_RETURN,9,RETURN,3,THRESHOLD,4,::r_dt_return_base
10,RES_STOCK_ALERT,10,RES_STOCK_ALERT,4,THRESHOLD,5,::r_dt_stock_alertView
11,RES_STOCK_BUBBLE,11,RES_STOCK_BUBBLE,4,THRESHOLD,5,::r_dt_stock_bubbleView
14,SD_KPI_BUBBLE,14,SD_KPI_BUBBLE,5,THRESHOLD,6,::r_dt_sd_kpi_bubble
16,AVC_PLAN,16,AVC_PLAN,7,THRESHOLD,7,::r_dt_availableCheck_plan
17,AVC_LEVEL,17,AVC_LEVEL,8,THRESHOLD,7,::r_dt_availableCheck_level
18,EXCLUSIVE_PICKUP,18,PICKUP,9,THRESHOLD,8,::r_dt_pickup_tu
19,EXCLUSIVE_RETURN,19,RETURN,10,THRESHOLD,8,::r_dt_return_tu
